Title:;2
Author:;Marco Salm
student (m);סטודנט;סְטוּדֵנְט
student (f);סטודנטית;סְטוּדֶנְטִית
English;אנגלית;אַנְגְלִית
I;אני;אֲנִי
yes;כן;כֵּן
no;לא;לֹא
peace;שלום;שָׁלוֹם
how are you;מה נשמע;מַה נִשְׁמַע
what;מה;מַה
and;ו;וְ
Hebrew;עברית;עִבְרִית
French;צרפתית;צָרְפָתִית
Russian;רוסית;רוּסִית
Italian;איטלקית;אִיטַלְקִית
Swedish;שוודית;שְׁוֵדִית
Danish;דנית;דֵנִית
Arabic;ערבית;עַרְבִית
Japanese;יפנית;יַפָּנִית
German;גרמנית;גֶרְמָנִית
teacher (m);מורה;מוֹרֶה
in;ב;בְּ,בַּ
also;גם;גַם
Germany;גרמניה;גֶרְמָנִיָה
Yiddish;יידיש;יִידִשׁ
mother;אמא;אִמָא
from where;מאין;מֵאַיִן
teacher (f);מורה;מוֹרָה
pleasure;נעים מאוד;נַעִים מֵאוֹד
from;מן;מִן
my name is;שמי;שְׁמִי
what is your name (m);מה שמך;מַה שִׁמְךָ
what is your name (f);מה שמך;מַה שְׁמֵךְ
name;שם;שֵׁם
USA;ארצות הברית;אַרְצוֹת הַבְּרִית
Russia;רוסיה;רוּסְיה
Greek;יוונית;יְוָנִית
Greece;יון;יָוָן
you (m);אתה;אַתָה
you (f);את;אַת
he;הוא;הוּא
she;היא;הִיא
we;אנחנו;אֲנַחְנוּ
you (m,pl);אתם;אַתֶם
you (f,pl);אתן;אַתֶן
they (m);הם;הֶם
they (f);הן;הֶן
to speak;לדבר;לְדַבֵּר
truth;אמת;אֱמֶת
father;אבא;אַבָּא
day;יום;יוֹם
today;היום;הַיוֹם
tea;תה;תֵה
sister;אחות;אָחוֹת
sisters;אחיות;אֲחָיוֹת
brother;אח;אָח
brothers;אחים;אָחִים
with;עם;עִם
where;איפה;אֵיפֹה
to live;לגור;לָגוּר
to make;לעשות;לַעֲשֹוֹת
to work;לעבוד;לַעֲבוֹד
to learn;ללמוד;לִלְמוֹד
there is;יש;יֶשׁ
there is no;אין;אֵין
letter;אות;אוֹת
letters;אותיות;אוֹתיוֹת
Saturday;יום שבת;יוֹם שַׁבָּת
Monday;יום שני;יוׂםשֵׁנִי
Tuesday;יום שלישי;יוׂם שְׁלִישִׁי
Wednesday;יום רביעי;יוׂם רְבִיעִי
Thursday;יום חמישי;יוׂם חֲמִישִׁי
Sunday;יום ראשון;יוׂם רִאשׁוֹן
Friday;יום ששי;יוׂם שִׁשִׁי
thanks;תודה;תוֹדָה
many thanks;תודה רבה;תוֹדָה רַבָּה
uncle;דוד;דוֹד
aunt;דודה;דוֹדָה
goodbye;להתראות;לְהִתְרָאוֹת
good (m);טוב;טוֹב
good (f);טובה;טוֹבָה
picture;תמונה;תְמוּנָה
sea;ים;יָם
university;אוניברסיטה;אוּנִיבֶרְסִיטָה
who;מי;מִי
this (m);זה;זֶה
this (f);זאת;זֹאת
chair;כסא;כִּסֵא
Scotland;סקוטלנד;סְקוֹטְלַנְד
to read;לקרוא;לִקְרוֹא
beer;בירה;בִּירָה
bag;תיק;תִיק
classroom;כתה;כּתָה
notebook;מחברת;מַחְבֶּרֶת
bottle;בקבוק;בַּקְבּוּק
key;מפתח;מַפְתֵחַ
cell phone;טלפון סלולרי;טֶלֶפוֹן סֶלוּלָרִי
pencil;עפרון;עִפָּרוֹן
pen;עט;עֵט
clock;שעון;שָׁעוֹן
nice;יפה;יָפֶה
book;ספר;סֵפֶר
England;אנגליה;אַנְגְלִיָה
bank;בנק;בַּנְק
America;אמריקה;אֲמֶרִיקָה
Latin America;אמריקה הלטינית;אֲמֶרִיקָה הַלַטִינִית
Australia;אוסטרליה;אוֹסְטְרַלְיָה
cafe;בית קפה;בַּית קָפֶה
Italy;איטליה;אִיטַלְיָה
telephone;טלפון;טֶלֶפוֹן
Israel;ישראל;יִשְֹרָאֵל
garden;גן;גַן
clerk (m);פקיד;פָּקִיד
clerk (f);פקידה;פְּקִידָה
architect (m);ארכיטקט;אַרְכִיטֶקְט
architect (f);ארכיטקטית;אַרְכִיטֶקְטִית
psychologist (m);פסיכולוג;פְּסִיכוֹלוֹג
psychologist (f);פסיכולוגית;פְּסיכוֹלוֹגִית
mister;אדון;אָדוֹן
miss;גברת;גְבֶרֶת
physicist (m);פיזיקאי;פִיזִיקַאי
physicist (f);פיזיקאית;פִיזִיקָאִית
technician (m);טכנאי;טֶכְנַאי
technician (f);טכנאית;טֶכְנָאִית
bad (m);רע;רַע
now;עכשיו;עַכְשָׁו
there;שם;שַׁם
office;משרד;מִשְֹרָד
Ireland;אירלנד;אִירְלַנְד
wine;יין;יַיִן
water;מים;מַיִם
man;איש;אִישׁ
woman;אישה;אִישָׁה
ice cream;גלידה;גְלִידָה
mountain;הר;הַר
boy;ילד;יֶלֶד
girl;ילדה;יַלְדָה
song;שיר;שִׁיר
pupil (m);תלמיד;תַלְמִיד
pupil (f);תלמידה;תַלְמִידָה
sun;שמש;שֶׁמֶשׁ
belonging to;של;שֶׁל
here;הנה;הִנֵה
friend (m);חבר;חָבֶר
friend (f);חברה;חָבֶרָה
challah;חלה;חַלָה
bread;לחם;לֶחֶם
lemon;לימון;לִימוֹן
salt;מלח;מֶלַח
or;או;אוֹ
to sing;לשיר;לָשִׁיר
to come;לבוא;לָבוֹא
to;ל;לְ
Romanian;רומנית;רוֹמָנִית
to rise;לקום;לָקוּם
to run;לרוץ;לָרוּץ
these;אלה;אֵלֶה
choice;בחירה;בְּחִירָה
school;בית ספר;בֵּית סֶפֶר
radio;רדיו;רַדִיוֹ
video;וידאו;וִידֵאוֹ
house;בית;בָּית
houses;בתים;בָּתִים
head;ראש;רֹאשׁ
heads;ראשים;רָאשִׁים
chairman (m);יושב ראש;יוֹשֵׁב ראשׁ
shop;חנות;חֲנוּת
shops;חנויות;חָנוּיוֹת
job;עבודה;עֲבוֹדָה
jobs;עבודות;עֲבוֹדוֹת
only;רק;רַק
if;אם;אִם
new (m);חדש;חַדָשׁ
new (f);חדשה;חַדַשָׁה
to want;לרצות;לִרְצוֹת
to see;לראות;לִרְאוֹת
to drink;לשתות;לִשְׁתוֹת
to sit;לשבת;לָשֶׁבֶת
restaurants;מסעדות;מִסְעָדָוֹת
to buy;לקנות;לִקְנוֹת
